Date ,Cross word,Race 6,Pick 3,Pick 4,Spin Roulette,Spin the Wheel, Crosswords Paradise, Bingo,lotto,Terdrup ,Free Roll,wager,Total players of race  6
23/4/2026,757020,60154,29790,19680,103375,243180,113900,686310,76830,51600, 906.00 ,2177860,540
24/4/2026,640470,59896,24330,16680,71850,202800,108250,629430,41880,44575, 740.00 ,1880615,536
25/4/2026,557940,59420,16920,16480,61725,158580,72200,551460,11760,35125, 632.00 ,1578320,389
26/4/2026,531510,59059,26580,13080,56250,146430,62150,528750,32100,33250, 637.00 ,1518880,373
27/4/2026,685470,62138,20430,24880,77125,175980,102150,584430,68970,39250, 785.00 ,1883890,437
28/4/2026,781020,66675,37410,28080,82000,240600,99450,731640,24840,45050, 865.00 ,2189780,561
29/4/2026,746310,59981,37530,38160,113975,267600,122750,775080,28050,56150," 1,091.00 ",2284190,568
30/4/2026,756360,66620,58680,29680,120175,216870,126950,801210,84930,48350," 1,018.00 ",2361485,623
1/5/2026,677220,62937,36180,23760,103250,233640,99800,750540,29310,47275, 869.00 ,2109990,581
2/5/2026,676470,93841,30180,15800,79025,201450,89850,672330,15180,37100, 875.00 ,1988735,816
3/5/2026,587520,63548,26670,27760,55675,184380,69050,596700,20790,30700, 700.00 ,1712655,482
4/5/2026,640350,63770,38580,24960,60025,180570,77800,691380,72690,39675, 851.00 ,1936405,528
5/5/2026,669690,65080,34950,15920,82900,227820,108400,731940,24240,54350, 842.00 ,2068180,510
6/5/2026,709380,70040,52440,25720,98750,234840,138200,770040,37860,61700," 1,100.00 ",2263410,620
7/5/2026,709380,70040,52440,25720,98750,234840,138200,770040,37860,61700," 1,329.00 ",2207315,641
8/5/2026,681840,60632,40440,21640,106950,209940,125700,759210,25290,63825," 1,273.00 ",2134690,546
9/5/2026,600510,61168,42540,20160,67250,201000,103650,602010,13950,46725," 1,322.00 ",1801945,426
10/5/2026,571920,61639,29640,13120,63300,172260,87800,624660,21330,36400," 1,400.00 ",1727675,435
11/5/2026,604500,58704,35460,24600,66275,179460,101350,658770,94650,43100," 1,434.00 ",1902470,469
12/5/2026,573450,61390,29280,18640,68425,160050,105400,639690,21120,36350," 1,498.00 ",1756080,246
,,,,,,,,,,,,,
